code,display
M43.04,"Spondylolysis, thoracic region"
M43.05,"Spondylolysis, thoracolumbar region"
M43.06,"Spondylolysis, lumbar region"
M43.07,"Spondylolysis, lumbosacral region"
M43.08,"Spondylolysis, sacral and sacrococcygeal region"
M43.09,"Spondylolysis, site unspecified"
M43.1,Spondylolisthesis
M43.10,"Spondylolisthesis, multiple sites in spine"
M43.11,"Spondylolisthesis, occipito-atlanto-axial region"
M43.12,"Spondylolisthesis, cervical region"
M43.13,"Spondylolisthesis, cervicothoracic region"
M43.14,"Spondylolisthesis, thoracic region"
M43.15,"Spondylolisthesis, thoracolumbar region"
M43.16,"Spondylolisthesis, lumbar region"
M43.17,"Spondylolisthesis, lumbosacral region"
M43.18,"Spondylolisthesis, sacral and sacrococcygeal region"
M43.19,"Spondylolisthesis, site unspecified"
M43.2,Other fusion of spine
M43.20,"Other fusion of spine, multiple sites in spine"
M43.21,"Other fusion of spine, occipito-atlanto-axial region"
M43.22,"Other fusion of spine, cervical region"
M43.23,"Other fusion of spine, cervicothoracic region"
M43.24,"Other fusion of spine, thoracic region"
M43.25,"Other fusion of spine, thoracolumbar region"
M43.26,"Other fusion of spine, lumbar region"
M43.27,"Other fusion of spine, lumbosacral region"
M43.28,"Other fusion of spine, sacral and sacrococcygeal region"
M43.29,"Other fusion of spine, site unspecified"
M43.3,Recurrent atlantoaxial subluxation with myelopathy
M43.30,"Recurrent atlantoaxial subluxation with myelopathy, multiple sites in spine"
M43.31,"Recurrent atlantoaxial subluxation with myelopathy, occipito-atlanto-axial region"
M43.32,"Recurrent atlantoaxial subluxation with myelopathy, cervical region"
M43.33,"Recurrent atlantoaxial subluxation with myelopathy, cervicothoracic region"
M43.34,"Recurrent atlantoaxial subluxation with myelopathy, thoracic region"
M43.35,"Recurrent atlantoaxial subluxation with myelopathy, thoracolumbar region"
M43.36,"Recurrent atlantoaxial subluxation with myelopathy, lumbar region"
M43.37,"Recurrent atlantoaxial subluxation with myelopathy, lumbosacral region"
M43.38,"Recurrent atlantoaxial subluxation with myelopathy, sacral and sacrococcygeal region"
M43.39,"Recurrent atlantoaxial subluxation with myelopathy, site unspecified"
M43.4,Other recurrent atlantoaxial subluxation
M43.40,"Other recurrent atlantoaxial subluxation, multiple sites in spine"
M43.41,"Other recurrent atlantoaxial subluxation, occipito-atlanto-axial region"
M43.42,"Other recurrent atlantoaxial subluxation, cervical region"
M43.43,"Other recurrent atlantoaxial subluxation, cervicothoracic region"
M43.44,"Other recurrent atlantoaxial subluxation, thoracic region"
M43.45,"Other recurrent atlantoaxial subluxation, thoracolumbar region"
M43.46,"Other recurrent atlantoaxial subluxation, lumbar region"
M43.47,"Other recurrent atlantoaxial subluxation, lumbosacral region"
M43.48,"Other recurrent atlantoaxial subluxation, sacral and sacrococcygeal region"
M43.49,"Other recurrent atlantoaxial subluxation, site unspecified"
M43.5,Other recurrent vertebral subluxation
M43.50,"Other recurrent vertebral subluxation, multiple sites in spine"
M43.51,"Other recurrent vertebral subluxation, occipito-atlanto-axial region"
M43.52,"Other recurrent vertebral subluxation, cervical region"
M43.53,"Other recurrent vertebral subluxation, cervicothoracic region"
M43.54,"Other recurrent vertebral subluxation, thoracic region"
M43.55,"Other recurrent vertebral subluxation, thoracolumar region"
M43.56,"Other recurrent vertebral subluxation, lumbar region"
M43.57,"Other recurrent vertebral subluxation, lumbosacral region"
M43.58,"Other recurrent vertebral subluxation, sacral and sacrococcygeal region"
M43.59,"Other recurrent vertebral subluxation, site unspecified"
M43.6,Torticollis
M43.60,"Torticollis, multiple sites in spine"
M43.61,"Torticollis, occipito-atlanto-axial region"
M43.62,"Torticollis, cervical region"
M43.63,"Torticollis, cervicothoracic region"
M43.64,"Torticollis, thoracic region"
M43.65,"Torticollis, thoracolumar region"
M43.66,"Torticollis, lumbar region"
M43.67,"Torticollis, lumbosacral region"
M43.68,"Torticollis, sacral and sacrococcygeal region"
M43.69,"Torticollis, site unspecified"
M43.8,Other specified deforming dorsopathies
M43.80,"Other specified deforming dorsopathies, multiple sites"
M43.81,"Other specified deforming dorsopathies, occipito and atlanto and axial region"
M43.82,"Other specified deforming dorsopathies, cervical region"
M43.83,"Other specified deforming dorsopathies, cervicothoracic region"
M43.84,"Other specified deforming dorsopathies, thoracic region"
M43.85,"Other specified deforming dorsopathies, thoracolumbar region"
M43.86,"Other specified deforming dorsopathies, lumbar region"
M43.87,"Other specified deforming dorsopathies, lumbosacral region"
M43.88,"Other specified deforming dorsopathies, sacral and sacrococcygeal region"
M43.89,"Other specified deforming dorsopathies, site unspecified"
M43.9,"Deforming dorsopathy, unspecified"
M43.90,"Deforming dorsopathy, unspecified, multiple sites"
M43.91,"Deforming dorsopathy, unspecified, occipito-atlanto-axial region"
M43.92,"Deforming dorsopathy, unspecified, cervical region"
M43.93,"Deforming dorsopathy, unspecified, cervicothoracic region"
M43.94,"Deforming dorsopathy, unspecified, thoracic region"
M43.95,"Deforming dorsopathy, unspecified, thoracolumbar region"
M43.96,"Deforming dorsopathy, unspecified, lumbar region"
M43.97,"Deforming dorsopathy, unspecified, lumbosacral region"
M43.98,"Deforming dorsopathy, unspecified, sacral and sacrococcygeal region"
M43.99,"Deforming dorsopathy, unspecified, site unspecified"
M45,Ankylosing spondylitis
M45.0,"Ankylosing spondylitis, multiple sites in spine"
M45.1,"Ankylosing spondylitis, occipito-atlanto-axial region"
M45.2,"Ankylosing spondylitis, cervical region"
M45.3,"Ankylosing spondylitis, cervicothoracic region"
M45.4,"Ankylosing spondylitis, thoracic region"
M45.5,"Ankylosing spondylitis, thoracolumbar region"
M45.6,"Ankylosing spondylitis, lumbar region"
M45.7,"Ankylosing spondylitis, lumbosacral region"
M45.8,"Ankylosing spondylitis, sacral and sacrococcygeal region"
M45.9,"Ankylosing spondylitis, site unspecified"
M46,Spinal enthesopathy
M46.0,Spinal enthesopathy
M46.00,"Spinal enthesopathy, multiple sites"
M46.01,"Spinal enthesopathy, occipito-atlanto-axial region"
M46.02,"Spinal enthesopathy, cervical region"
M46.03,"Spinal enthesopathy, cervicothoracic region"
M46.04,"Spinal enthesopathy, thoracic region"
M46.05,"Spinal enthesopathy, thoracolumbar region"
M46.06,"Spinal enthesopathy, lumbar region"
M46.07,"Spinal enthesopathy, lumbosacral region"
M46.08,"Spinal enthesopathy, sacral and sacrococcygeal region"
M46.09,"Spinal enthesopathy, site unspecified"
M46.1,"Sacroiliitis, not elsewhere classified"
M46.10,"Sacroiliitis, not elsewhere classified, multiple sites"
M46.11,"Sacroiliitis, not elsewhere classified, occipito-atlanto-axial region"
M46.12,"Sacroiliitis, not elsewhere classified, cervical region"
M46.13,"Sacroiliitis, not elsewhere classified, cervicothoracic region"
M46.14,"Sacroiliitis, not elsewhere classified, thoracic region"
M46.15,"Sacroiliitis, not elsewhere classified, thoracolumbar region"
M46.16,"Sacroiliitis, not elsewhere classified, lumbar region"
M46.17,"Sacroiliitis, not elsewhere classified, lumbosacral region"
M46.18,"Sacroiliitis, not elsewhere classified, sacral and sacrococcygeal region"
M46.19,"Sacroiliitis, not elsewhere classified, site unspecified"
M46.2,Osteomyelitis of vertebra
M46.20,"Osteomyelitis of vertebra, multiple sites"
M46.21,"Osteomyelitis of vertebra, occipito-atlanto-axial region"
M46.22,"Osteomyelitis of vertebra, cervical region"
M46.23,"Osteomyelitis of vertebra, cervicothoracic region"
M46.24,"Osteomyelitis of vertebra, thoracic region"
M46.25,"Osteomyelitis of vertebra, thoracolumbar region"
M46.26,"Osteomyelitis of vertebra, lumbar region"
M46.27,"Osteomyelitis of vertebra, lumbosacral region"
M46.28,"Osteomyelitis of vertebra, sacral and sacrococcygeal region"
M46.29,"Osteomyelitis of vertebra, site unspecified"
M46.3,Infection of intervertebral disc (pyogenic)
M46.30,"Infection of intervertebral disc (pyogenic), multiple sites"
M46.31,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region"
M46.32,"Infection of intervertebral disc (pyogenic), cervical region"
M46.33,"Infection of intervertebral disc (pyogenic), cervicothoracic region"
M46.34,"Infection of intervertebral disc (pyogenic), thoracic region"
M46.35,"Infection of intervertebral disc (pyogenic), thoracolumbar region"
M46.36,"Infection of intervertebral disc (pyogenic), lumbar region"
M46.37,"Infection of intervertebral disc (pyogenic), lumbosacral region"
M46.38,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region"
M46.39,"Infection of intervertebral disc (pyogenic), site unspecified"
M46.4,"Discitis, unspecified"
M46.40,"Discitis, unspecified, multiple sites"
M46.41,"Discitis, unspecified, occipito-atlanto-axial region"
M46.42,"Discitis, unspecified, cervical region"
M46.43,"Discitis, unspecified, cervicothoracic region"
M46.44,"Discitis, unspecified, thoracic region"
M46.45,"Discitis, unspecified, thoracolumbar region"
M46.46,"Discitis, unspecified, lumbar region"
M46.47,"Discitis, unspecified, lumbosacral region"
M46.48,"Discitis, unspecified, sacral and sacrococcygeal region"
M46.49,"Discitis, unspecified, site unspecified"
M46.5,Other infective spondylopathies
M46.50,"Other infective spondylopathies, multiple sites"
M46.51,"Other infective spondylopathies, occipito-atlanto-axial region"
M46.52,"Other infective spondylopathies, cervical region"
M46.53,"Other infective spondylopathies, cervicothoracic region"
M46.54,"Other infective spondylopathies, thoracic region"
M46.55,"Other infective spondylopathies, thoracolumbar region"
M46.56,"Other infective spondylopathies, lumbar region"
M46.57,"Other infective spondylopathies, lumbosacral region"
M46.58,"Other infective spondylopathies, sacral and sacrococcygeal region"
M46.59,"Other infective spondylopathies, site unspecified"
M46.8,Other specified inflammatory spondylopathies
M46.80,"Other specified inflammatory spondylopathies, multiple sites"
M46.81,"Other specified inflammatory spondylopathies, occipito-atlanto-axial region"
M46.82,"Other specified inflammatory spondylopathies, cervical region"
M46.83,"Other specified inflammatory spondylopathies, cervicothoracic region"
M46.84,"Other specified inflammatory spondylopathies, thoracic region"
M46.85,"Other specified inflammatory spondylopathies, thoracolumbar region"
M46.86,"Other specified inflammatory spondylopathies, lumbar region"
M46.87,"Other specified inflammatory spondylopathies, lumbosacral region"
M46.88,"Other specified inflammatory spondylopathies, sacral and sacrococcygeal region"
M46.89,"Other specified inflammatory spondylopathies, site unspecified"
M46.9,"Inflammatory spondylopathy, unspecified"
M46.90,"Inflammatory spondylopathy, unspecified, multiple sites"
M46.91,"Inflammatory spondylopathy, unspecified, occipito-atlanto-axial region"
M46.92,"Inflammatory spondylopathy, unspecified, cervical region"
M46.93,"Inflammatory spondylopathy, unspecified, cervicothoracic region"
M46.94,"Inflammatory spondylopathy, unspecified, thoracic region"
M46.95,"Inflammatory spondylopathy, unspecified, thoracolumbar region"
M46.96,"Inflammatory spondylopathy, unspecified, lumbar region"
M46.97,"Inflammatory spondylopathy, unspecified, lumbosacral region"
M46.98,"Inflammatory spondylopathy, unspecified, sacral and sacrococcygeal region"
M46.99,"Inflammatory spondylopathy, unspecified, site unspecified"
M47,Spondylosis
M47.0,"Ant spinal and vertebral artery compression syndromes, multiple sites"
M47.1,"Ant spinal and vertebral artery compression syndromes, occipito-atlanto-axial region"
M47.10,"Other spondylosis with myelopathy, multiple sites"
M47.11,"Other spondylosis with myelopathy, occipito-atlanto-axial region"
M47.12,"Other spondylosis with myelopathy, cervical region"
M47.13,"Other spondylosis with myelopathy, cervicothoracic region"
M47.14,"Other spondylosis with myelopathy, thoracic region"
M47.15,"Other spondylosis with myelopathy, thoracolumbar region"
M47.16,"Other spondylosis with myelopathy, lumbar region"
M47.17,"Other spondylosis with myelopathy, lumbosacral region"
M47.18,"Other spondylosis with myelopathy, sacral and sacrococcygeal region"
M47.19,"Other spondylosis with myelopathy, site unspecified"
M47.2,Other spondylosis with radiculopathy
M47.20,"Other spondylosis with radiculopathy, multiple sites"
M47.21,"Other spondylosis with radiculopathy, occipito-atlanto-axial region"
M47.22,"Other spondylosis with radiculopathy, cervical region"
M47.23,"Other spondylosis with radiculopathy, cervicothoracic region"
M47.24,"Other spondylosis with radiculopathy, thoracic region"
M47.25,"Other spondylosis with radiculopathy, thoracolumbar region"
M47.26,"Other spondylosis with radiculopathy, lumbar region"
M47.27,"Other spondylosis with radiculopathy, lumbosacral region"
M47.28,"Other spondylosis with radiculopathy, sacral and sacrococcygeal region"
M47.29,"Other spondylosis with radiculopathy, site unspecified"
M47.3,"Ant spinal and vertebral artery compression syndromes, cervicothoracic region"
M47.4,"Ant spinal and vertebral artery compression syndromes, thoracic region"
M47.5,"Ant spinal and vertebral artery compression syndromes, thoracolumbar region"
M47.6,"Ant spinal and vertebral artery compression syndromes, lumbar region"
M47.7,"Ant spinal and vertebral artery compression syndromes, lumbosacral region"
M47.8,"Ant spinal and vertebral artery compression syndromes, sacral and sacrococcygeal region"
M47.80,"Other spondylosis, multiple sites"
M47.81,"Other spondylosis, occipito-atlanto-axial region"
M47.82,"Other spondylosis, cervical region"
M47.83,"Other spondylosis, cervicothoracic region"
M47.84,"Other spondylosis, thoracic region"
M47.85,"Other spondylosis, thoracolumbar region"
M47.86,"Other spondylosis, lumbar region"
M47.87,"Other spondylosis, lumbosacral region"
M47.88,"Other spondylosis, sacral and sacrococcygeal region"
M47.89,"Other spondylosis, site unspecified"
M47.9,"Ant spinal and vertebral artery compression syndromes, site unspecified"
M47.90,"Spondylosis, unspecified, multiple sites"
M47.91,"Spondylosis, unspecified, occipito-atlanto-axial region"
M47.92,"Spondylosis, unspecified, cervical region"
M47.93,"Spondylosis, unspecified, cervicothoracic region"
M47.94,"Spondylosis, unspecified, thoracic region"
M47.95,"Spondylosis, unspecified, thoracolumbar region"
M47.96,"Spondylosis, unspecified, lumbar region"
M47.97,"Spondylosis, unspecified, lumbosacral region"
M47.98,"Spondylosis, unspecified, sacral and sacrococcygeal region"
M47.99,"Spondylosis, unspecified, site unspecified"
M48,Other spondylopathies
M48.0,Spinal stenosis
M48.00,"Spinal stenosis, multiple sites"
M48.01,"Spinal stenosis, occipito-atlanto-axial region"
M48.02,"Spinal stenosis, cervical region"
M48.03,"Spinal stenosis, cervicothoracic region"
M48.04,"Spinal stenosis, thoracic region"
M48.05,"Spinal stenosis, thoracolumbar region"
M48.06,"Spinal stenosis, lumbar region"
M48.07,"Spinal stenosis, lumbosacral region"
M48.08,"Spinal stenosis, sacral and sacrococcygeal region"
M48.09,"Spinal stenosis, site unspecified"
M48.1,Ankylosing hyperostosis [forestier]
M48.10,"Ankylosing hyperostosis [forestier], multiple sites"
M48.11,"Ankylosing hyperostosis [forestier], occipito-atlanto-axial region"
M48.12,"Ankylosing hyperostosis [forestier], cervical region"
M48.13,"Ankylosing hyperostosis [forestier], cervicothoracic region"
M48.14,"Ankylosing hyperostosis [forestier], thoracic region"
M48.15,"Ankylosing hyperostosis [forestier], thoracolumbar region"
M48.16,"Ankylosing hyperostosis [forestier], lumbar region"
M48.17,"Ankylosing hyperostosis [forestier], lumbosacral region"
M48.18,"Ankylosing hyperostosis [forestier], sacral and sacrococcygeal region"
M48.19,"Ankylosing hyperostosis [forestier], site unspecified"
M48.2,Kissing spine
M48.20,"Kissing spine, multiple sites"
M48.21,"Kissing spine, occipito-atlanto-axial region"
M48.22,"Kissing spine, cervical region"
M48.23,"Kissing spine, cervicothoracic region"
M48.24,"Kissing spine, thoracic region"
M48.25,"Kissing spine, thoracolumbar region"
M48.26,"Kissing spine, lumbar region"
M48.27,"Kissing spine, lumbosacral region"
M48.28,"Kissing spine, sacral and sacrococcygeal region"
M48.29,"Kissing spine, site unspecified"
M48.3,Traumatic spondylopathy
M48.30,"Traumatic spondylopathy, multiple sites"
M48.31,"Traumatic spondylopathy, occipito-atlanto-axial region"
M48.32,"Traumatic spondylopathy, cervical region"
M48.33,"Traumatic spondylopathy, cervicothoracic region"
M48.34,"Traumatic spondylopathy, thoracic region"
M48.35,"Traumatic spondylopathy, thoracolumbar region"
M48.36,"Traumatic spondylopathy, lumbar region"
M48.37,"Traumatic spondylopathy, lumbosacral region"
M48.38,"Traumatic spondylopathy, sacral and sacrococcygeal region"
M48.39,"Traumatic spondylopathy, site unspecified"
M48.4,Fatigue fracture of vertebra
M48.40,"Fatigue fracture of vertebra, multiple sites"
M48.41,"Fatigue fracture of vertebra, occipito-atlanto-axial region"
M48.42,"Fatigue fracture of vertebra, cervical region"
M48.43,"Fatigue fracture of vertebra, cervicothoracic region"
M48.44,"Fatigue fracture of vertebra, thoracic region"
M48.45,"Fatigue fracture of vertebra, thoracolumbar region"
M48.46,"Fatigue fracture of vertebra, lumbar region"
M48.47,"Fatigue fracture of vertebra, lumbosacral region"
M48.48,"Fatigue fracture of vertebra, sacral and sacrococcygeal region"
M48.49,"Fatigue fracture of vertebra, site unspecified"
M48.5,"Collapsed vertebra, not elsewhere classified"
M48.50,"Collapsed vertebra, not elsewhere classified, multiple sites"
M48.51,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region"
M48.52,"Collapsed vertebra, not elsewhere classified, cervical region"
M48.53,"Collapsed vertebra, not elsewhere classified, cervicothoracic region"
M48.54,"Collapsed vertebra, not elsewhere classified, thoracic region"
M48.55,"Collapsed vertebra, not elsewhere classified, thoracolumbar region"
M48.56,"Collapsed vertebra, not elsewhere classified, lumbar region"
M48.57,"Collapsed vertebra, not elsewhere classified, lumbosacral region"
M48.58,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region"
M48.59,"Collapsed vertebra, not elsewhere classified, site unspecified"
M48.8,Other specified spondylopathies
M48.80,"Other specified spondylopathies, multiple sites"
M48.81,"Other specified spondylopathies, occipito-atlanto-axial region"
M48.82,"Other specified spondylopathies, cervical region"
M48.83,"Other specified spondylopathies, cervicothoracic region"
M48.84,"Other specified spondylopathies, thoracic region"
M48.85,"Other specified spondylopathies, thoracolumbar region"
M48.86,"Other specified spondylopathies, lumbar region"
M48.87,"Other specified spondylopathies, lumbosacral region"
M48.88,"Other specified spondylopathies, sacral and sacrococcygeal region"
M48.89,"Other specified spondylopathies, site unspecified"
M48.9,"Spondylopathy, unspecified"
M48.90,"Spondylopathy, unspecified, multiple sites"
M48.91,"Spondylopathy, unspecified, occipito-atlanto-axial region"
M48.92,"Spondylopathy, unspecified, cervical region"
M48.93,"Spondylopathy, unspecified, cervicothoracic region"
M48.94,"Spondylopathy, unspecified, thoracic region"
M48.95,"Spondylopathy, unspecified, thoracolumbar region"
M48.96,"Spondylopathy, unspecified, lumbar region"
M48.97,"Spondylopathy, unspecified, lumbosacral region"
M48.98,"Spondylopathy, unspecified, sacral and sacrococcygeal region"
M48.99,"Spondylopathy, unspecified, site unspecified"
M49,Spondylopathies in diseases classified elsewhere
M49.0,Tuberculosis of spine
M49.00,"Tuberculosis of spine, multiple sites"
M49.01,"Tuberculosis of spine, occipito-atlanto-axial region"
M49.02,"Tuberculosis of spine, cervical region"
M49.03,"Tuberculosis of spine, cervicothoracic region"
M49.04,"Tuberculosis of spine, thoracic region"
M49.05,"Tuberculosis of spine, thoracolumbar region"
M49.06,"Tuberculosis of spine, lumbar region"
M49.07,"Tuberculosis of spine, lumbosacral region"
M49.08,"Tuberculosis of spine, sacral and sacrococcygeal region"
M49.09,"Tuberculosis of spine, site unspecified"
M49.1,Brucella spondylitis
M49.10,"Brucella spondylitis, multiple sites"
M49.11,"Brucella spondylitis, occipito-atlanto-axial region"
M49.12,"Brucella spondylitis, cervical region"
M49.13,"Brucella spondylitis, cervicothoracic region"
M49.14,"Brucella spondylitis, thoracic region"
M49.15,"Brucella spondylitis, thoracolumbar region"
M49.16,"Brucella spondylitis, lumbar region"
M49.17,"Brucella spondylitis, lumbosacral region"
M49.18,"Brucella spondylitis, sacral and sacrococcygeal region"
M49.19,"Brucella spondylitis, site unspecified"
M49.2,Enterobacterial spondylitis
M49.20,"Enterobacterial spondylitis, multiple sites"
M49.21,"Enterobacterial spondylitis, occipito-atlanto-axial region"
M49.22,"Enterobacterial spondylitis, cervical region"
M49.23,"Enterobacterial spondylitis, cervicothoracic region"
M49.24,"Enterobacterial spondylitis, thoracic region"
M49.25,"Enterobacterial spondylitis, thoracolumbar region"
M49.26,"Enterobacterial spondylitis, lumbar region"
M49.27,"Enterobacterial spondylitis, lumbosacral region"
M49.28,"Enterobacterial spondylitis, sacral and sacrococcygeal region"
M49.29,"Enterobacterial spondylitis, site unspecified"
M49.3,Spondylopathy in other infectious and parasitic disease classified elsewhere
M49.30,"Spondylopathy in other infectious and parasitic disease, multiple sites"
M49.31,"Spondylopathy in other infectious and parasitic disease, occipito-atlanto-axial region"
M49.32,"Spondylopathy in other infectious and parasitic disease, cervical region"
M49.33,"Spondylopathy in other infectious and parasitic disease, cervicothoracic region"
M49.34,"Spondylopathy in other infectious and parasitic disease, thoracic region"
M49.35,"Spondylopathy in other infectious and parasitic disease, thoracolumbar region"
M49.36,"Spondylopathy in other infectious and parasitic disease, lumbar region"
M49.37,"Spondylopathy in other infectious and parasitic disease, lumbosacral region"
M49.38,"Spondylopathy in other infectious and parasitic disease, sacral and sacrococcygeal region"
M49.39,"Spondylopathy in other infectious and parasitic disease, site unspecified"
M49.4,Neuropathic spondylopathy
M49.40,"Neuropathic spondylopathy, multiple sites"
M49.41,"Neuropathic spondylopathy, occipito-atlanto-axial region"
M49.42,"Neuropathic spondylopathy, cervical region"
M49.43,"Neuropathic spondylopathy, cervicothoracic region"
M49.44,"Neuropathic spondylopathy, thoracic region"
M49.45,"Neuropathic spondylopathy, thoracolumbar region"
M49.46,"Neuropathic spondylopathy, lumbar region"
M49.47,"Neuropathic spondylopathy, lumbosacral region"
M49.48,"Neuropathic spondylopathy, sacral and sacrococcygeal region"
M49.49,"Neuropathic spondylopathy, site unspecified"
M49.5,Collapsed vertebra in diseases classified elsewhere
M49.50,"Collapsed vertebra in diseases classified elsewhere, multiple sites"
M49.51,"Collapsed vertebra in diseases classified elsewhere, occipito-atlanto-axial region"
M49.52,"Collapsed vertebra in diseases classified elsewhere, cervical region"
M49.53,"Collapsed vertebra in diseases classified elsewhere, cervicothoracic region"
M49.54,"Collapsed vertebra in diseases classified elsewhere, thoracic region"
M49.55,"Collapsed vertebra in diseases classified elsewhere, thoracolumbar region"
M49.56,"Collapsed vertebra in diseases classified elsewhere, lumbar region"
M49.57,"Collapsed vertebra in diseases classified elsewhere, lumbosacral region"
M49.58,"Collapsed vertebra in diseases classified elsewhere, sacral and sacrococcygeal region"
M49.59,"Collapsed vertebra in diseases classified elsewhere, site unspecified"
M49.8,Spondylopathy in other diseases classified elsewhere
M49.80,"Spondylopathy in other diseases classified elsewhere, multiple sites"
M49.81,"Spondylopathy in other diseases classified elsewhere, occipito-atlanto-axial region"
M49.82,"Spondylopathy in other diseases classified elsewhere, cervical region"
M49.83,"Spondylopathy in other diseases classified elsewhere, cervicothoracic region"
M49.84,"Spondylopathy in other diseases classified elsewhere, thoracic region"
M49.85,"Spondylopathy in other diseases classified elsewhere, thoracolumbar region"
M49.86,"Spondylopathy in other diseases classified elsewhere, lumbar region"
M49.87,"Spondylopathy in other diseases classified elsewhere, lumbosacral region"
M49.88,"Spondylopathy in other diseases classified elsewhere, sacral and sacrococcygeal region"
M49.89,"Spondylopathy in other diseases classified elsewhere, site unspecified"
M50,Cervical disc disorders
M50.0,Cervical disc disorder with myelopathy
M50.1,Cervical disc disorder with radiculopathy
M50.2,Other cervical disc displacement
M50.3,Other cervical disc degeneration
M50.8,Other cervical disc disorders
M50.9,"Cervical disc disorder, unspecified"
M51,Other intervertebral disc disorders
M51.0,Lumbar and other intervertebral disc disorder with mylopathy
M51.1,Lumbar and other intervertebral disc disorders with radiculopathy
M51.2,Other specified intervertebral disc displacement
M51.3,Other specified intervertebral disc degeneration
M51.4,Schmorl's nodes
M51.8,Other specified intervertebral disc disorders
M51.9,"Intervertebral disc disorder, unspecified"
M53,"Other dorsopathies, not elsewhere classified"
M53.0,Cervicocranial syndrome
M53.00,"Cervicocranial syndrome, multiple sites"
M53.01,"Cervicocranial syndrome, occipito-atlanto-axial region"
M53.02,"Cervicocranial syndrome, cervical region"
M53.03,"Cervicocranial syndrome, cervicothoracic region"
M53.04,"Cervicocranial syndrome, thoracic region"
M53.05,"Cervicocranial syndrome, thoracolumbar region"
M53.06,"Cervicocranial syndrome, lumbar region"
M53.07,"Cervicocranial syndrome, lumbosacral region"
M53.08,"Cervicocranial syndrome, sacral and sacrococcygeal region"
M53.09,"Cervicocranial syndrome, site unspecified"
M53.1,Cervicobrachial syndrome
M53.10,"Cervicobrachial syndrome, multiple sites"
M53.11,"Cervicobrachial syndrome, occipito-atlanto-axial region"
M53.12,"Cervicobrachial syndrome, cervical region"
M53.13,"Cervicobrachial syndrome, cervicothoracic region"
M53.14,"Cervicobrachial syndrome, thoracic region"
M53.15,"Cervicobrachial syndrome, thoracolumbar region"
M53.16,"Cervicobrachial syndrome, lumbar region"
M53.17,"Cervicobrachial syndrome, lumbosacral region"
M53.18,"Cervicobrachial syndrome, sacral and sacrococcygeal region"
M53.19,"Cervicobrachial syndrome, site unspecified"
M53.2,Spinal instabilities
M53.20,"Spinal instabilities, multiple sites"
M53.21,"Spinal instabilities, occipito-atlanto-axial region"
M53.22,"Spinal instabilities, cervical region"
M53.23,"Spinal instabilities, cervicothoracic region"
M53.24,"Spinal instabilities, thoracic region"
M53.25,"Spinal instabilities, thoracolumbar region"
M53.26,"Spinal instabilities, lumbar region"
M53.27,"Spinal instabilities, lumbosacral region"
M53.28,"Spinal instabilities, sacral and sacrococcygeal region"
M53.29,"Spinal instabilities, site unspecified"
M53.3,"Sacrococcygeal disorders, not elsewhere classified"
M53.30,"Sacrococcygeal disorders, not elsewhere classified, multiple sites"
M53.31,"Sacrococcygeal disorders, not elsewhere classified, occipito-atlanto-axial region"
M53.32,"Sacrococcygeal disorders, not elsewhere classified, cervical region"
M53.33,"Sacrococcygeal disorders, not elsewhere classified, cervicothoracic region"
M53.34,"Sacrococcygeal disorders, not elsewhere classified, thoracic region"
M53.35,"Sacrococcygeal disorders, not elsewhere classified, thoracolumbar region"
M53.36,"Sacrococcygeal disorders, not elsewhere classified, lumbosacral region"
M53.37,"Sacrococcygeal disorders, not elsewhere classified, sacral and sacrococcygeal region"
M53.38,"Sacrococcygeal disorders, not elsewhere classified, sacral and sacrococcygeal region"
M53.39,"Sacrococcygeal disorders, not elsewhere classified, site unspecified"
M53.8,Other specified dorsopathies
M53.80,"Other specified dorsopathies, multiple sites"
M53.81,"Other specified dorsopathies, occipito-atlanto-axial region"
M53.82,"Other specified dorsopathies, cervical region"
M53.83,"Other specified dorsopathies, cervicothoracic region"
M53.84,"Other specified dorsopathies, thoracic region"
M53.85,"Other specified dorsopathies, thoracolumbar region"
M53.86,"Other specified dorsopathies, lumbar region"
M53.87,"Other specified dorsopathies, lumbosacral region"
M53.88,"Other specified dorsopathies, sacral and sacrococcygeal region"
M53.89,"Other specified dorsopathies, site unspecified"
M53.9,"Dorsopathy, unspecified"
M53.90,"Dorsopathy, unspecified, multiple sites"
M53.91,"Dorsopathy, unspecified, occipito-atlanto-axial region"
M53.92,"Dorsopathy, unspecified, cervical region"
M53.93,"Dorsopathy, unspecified, cervicothoracic region"
M53.94,"Dorsopathy, unspecified, thoracic region"
M53.95,"Dorsopathy, unspecified, thoracolumbar region"
M53.96,"Dorsopathy, unspecified, lumbar region"
M53.97,"Dorsopathy, unspecified, lumbosacral region"
M53.98,"Dorsopathy, unspecified, sacral and sacrococcygeal region"
M53.99,"Dorsopathy, unspecified, site unspecified"
M54,Dorsalgia
M54.0,Panniculitis affecting regions of neck and back
M54.00,"Panniculitis affecting regions of neck and back, multiple sites"
M54.01,"Panniculitis affecting regions of neck and back, occipito-atlanto-axial region"
M54.02,"Panniculitis affecting regions of neck and back, cervical region"
M54.03,"Panniculitis affecting regions of neck and back, cervicothoracic region"
M54.04,"Panniculitis affecting regions of neck and back, thoracic region"
